id,time,city,job,number_employees,major,level
56,1698147298000,Hà Nội,Java Developer,2,Công nghệ thông tin,senior
57,1672532695000,Đà Nẵng,Java Developer,2,Công nghệ thông tin,fresher
58,1681120771000,Hồ Chí Minh,Java Developer,1,Công nghệ thông tin,junior
59,1707648711000,Đà Nẵng,Python Developer,2,Công nghệ thông tin,fresher
60,1707778161000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,senior
61,1679794483000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,middle
62,1706476570000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,middle
63,1689849523000,Hà Nội,NodeJs,2,Công nghệ thông tin,senior
64,1714227847000,Hà Nội,Python Developer,2,Công nghệ thông tin,intern
65,1677084222000,Hà Nội,Backend Developer,1,Công nghệ thông tin,fresher
66,1688791457000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,fresher
67,1700013555000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,middle
68,1714931199000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,middle
69,1711728902000,Hà Nội,Data Scientist,3,Công nghệ thông tin,middle
70,1685502919000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,intern
71,1697016551000,Hà Nội,Backend Developer,1,Công nghệ thông tin,middle
72,1689587154000,Hà Nội,Backend Developer,1,Công nghệ thông tin,fresher
73,1697124883000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,fresher
74,1678837602000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,junior
75,1704263312000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,junior
76,1685335869000,Hà Nội,Python Developer,2,Công nghệ thông tin,senior
77,1674023025000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,fresher
78,1698552858000,Hà Nội,Backend Developer,3,Công nghệ thông tin,junior
79,1690959336000,Hà Nội,Backend Developer,2,Công nghệ thông tin,senior
80,1699023238000,Hà Nội,Backend Developer,2,Công nghệ thông tin,senior
81,1689663089000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,fresher
82,1685684395000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,intern
83,1694472592000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,senior
84,1692400623000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,senior
85,1708313371000,Hồ Chí Minh,NodeJs,3,Công nghệ thông tin,fresher
86,1686964141000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,fresher
87,1709014609000,Đà Nẵng,Python Developer,2,Công nghệ thông tin,junior
88,1715698270000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,junior
89,1699418354000,Hồ Chí Minh,Java Developer,2,Công nghệ thông tin,intern
90,1715503090000,Đà Nẵng,DevOps Engineer,2,Công nghệ thông tin,middle
91,1705774229000,Hồ Chí Minh,Java Developer,1,Công nghệ thông tin,intern
92,1684083087000,Hà Nội,NodeJs,1,Công nghệ thông tin,fresher
93,1698822237000,Đà Nẵng,Backend Developer,1,Công nghệ thông tin,middle
94,1708696032000,Hà Nội,Data Scientist,1,Công nghệ thông tin,fresher
95,1712672126000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,middle
96,1716838078000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,fresher
97,1673353544000,Hà Nội,ReactJs,3,Công nghệ thông tin,fresher
98,1696543780000,Đà Nẵng,DevOps Engineer,1,Công nghệ thông tin,fresher
99,1702955995000,Hà Nội,Java Developer,2,Công nghệ thông tin,junior
100,1709170764000,Hà Nội,NodeJs,2,Công nghệ thông tin,fresher
101,1701630922000,Đà Nẵng,Frontend Developer,3,Công nghệ thông tin,junior
102,1698757786000,Hà Nội,DevOps Engineer,3,Công nghệ thông tin,fresher
103,1681269915000,Đà Nẵng,DevOps Engineer,1,Công nghệ thông tin,fresher
104,1695548601000,Hà Nội,Python Developer,3,Công nghệ thông tin,middle
105,1716024932000,Hà Nội,Frontend Developer,2,Công nghệ thông tin,senior
106,1702344956000,Hà Nội,Frontend Developer,3,Công nghệ thông tin,intern
107,1716126611000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,intern
108,1687963912000,Hà Nội,Frontend Developer,3,Công nghệ thông tin,fresher
109,1714571048000,Hồ Chí Minh,Java Developer,2,Công nghệ thông tin,intern
110,1700825788000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,fresher
111,1706047330000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,junior
112,1692189971000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,senior
113,1696999474000,Hồ Chí Minh,ReactJs,2,Công nghệ thông tin,junior
114,1713535838000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,intern
115,1708375770000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,middle
116,1705690355000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,junior
117,1676399127000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,middle
118,1675656957000,Hồ Chí Minh,Frontend Developer,1,Công nghệ thông tin,middle
119,1691818877000,Đà Nẵng,NodeJs,1,Công nghệ thông tin,junior
120,1697450595000,Đà Nẵng,ReactJs,2,Công nghệ thông tin,junior
121,1704257724000,Hà Nội,NodeJs,1,Công nghệ thông tin,fresher
122,1675729891000,Hồ Chí Minh,ReactJs,2,Công nghệ thông tin,senior
123,1685255915000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,middle
124,1702541335000,Hồ Chí Minh,Python Developer,1,Công nghệ thông tin,fresher
125,1715583385000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,junior
126,1680761377000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,fresher
127,1714732570000,Hà Nội,ReactJs,2,Công nghệ thông tin,fresher
128,1677217592000,Đà Nẵng,NodeJs,1,Công nghệ thông tin,fresher
129,1710434029000,Hà Nội,Frontend Developer,1,Công nghệ thông tin,intern
130,1682122520000,Hà Nội,NodeJs,1,Công nghệ thông tin,senior
131,1679944468000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,senior
132,1685004986000,Hà Nội,Python Developer,2,Công nghệ thông tin,intern
133,1711520579000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,junior
134,1672856709000,Đà Nẵng,DevOps Engineer,2,Công nghệ thông tin,fresher
135,1681675062000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,middle
136,1682979110000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,fresher
137,1706592046000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,junior
138,1674906802000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,junior
139,1703545519000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,intern
140,1714248968000,Hà Nội,NodeJs,3,Công nghệ thông tin,middle
141,1687768851000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,intern
142,1673647899000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,intern
143,1708173000000,Đà Nẵng,Java Developer,1,Công nghệ thông tin,junior
144,1683392736000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,middle
145,1688013364000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,middle
146,1686550000000,Hồ Chí Minh,Python Developer,2,Công nghệ thông tin,intern
147,1688057368000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,junior
148,1714034026000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,junior
149,1705913624000,Hà Nội,ReactJs,1,Công nghệ thông tin,fresher
150,1688420604000,Hà Nội,Python Developer,2,Công nghệ thông tin,junior
151,1706994203000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,fresher
152,1715590159000,Hà Nội,DevOps Engineer,2,Công nghệ thông tin,senior
153,1704635946000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,fresher
154,1712945755000,Hà Nội,Java Developer,2,Công nghệ thông tin,fresher
155,1681620506000,Hà Nội,Python Developer,1,Công nghệ thông tin,fresher
156,1700315743000,Đà Nẵng,Python Developer,3,Công nghệ thông tin,intern
157,1708702180000,Hà Nội,Frontend Developer,2,Công nghệ thông tin,middle
158,1712012739000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,senior
159,1674484348000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,intern
160,1698626184000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,junior
161,1685119321000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,fresher
162,1710980324000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,middle
163,1702167558000,Hà Nội,ReactJs,3,Công nghệ thông tin,intern
164,1694989888000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,senior
165,1682394090000,Đà Nẵng,Backend Developer,3,Công nghệ thông tin,junior
166,1696696288000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,fresher
167,1712225610000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,intern
168,1684020637000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,middle
169,1713269106000,Hà Nội,ReactJs,3,Công nghệ thông tin,senior
170,1689349886000,Đà Nẵng,DevOps Engineer,2,Công nghệ thông tin,fresher
171,1707814568000,Đà Nẵng,Data Scientist,3,Công nghệ thông tin,intern
172,1714218995000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,junior
173,1695381491000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,junior
174,1709909269000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,senior
175,1672808193000,Đà Nẵng,Python Developer,3,Công nghệ thông tin,senior
176,1679594636000,Đà Nẵng,ReactJs,1,Công nghệ thông tin,junior
177,1697721473000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,middle
178,1687179699000,Hồ Chí Minh,Java Developer,1,Công nghệ thông tin,senior
179,1688727268000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,junior
180,1711723298000,Hà Nội,ReactJs,1,Công nghệ thông tin,senior
181,1707229548000,Hồ Chí Minh,Frontend Developer,2,Công nghệ thông tin,junior
182,1693126571000,Hà Nội,Python Developer,3,Công nghệ thông tin,junior
183,1689411569000,Hà Nội,Backend Developer,1,Công nghệ thông tin,intern
184,1715454495000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,middle
185,1673218407000,Hà Nội,ReactJs,3,Công nghệ thông tin,junior
186,1703290532000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,intern
187,1701128041000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,middle
188,1699988206000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,middle
189,1673468567000,Hà Nội,ReactJs,3,Công nghệ thông tin,intern
190,1689502731000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,middle
191,1699050236000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,senior
192,1704485019000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,fresher
193,1685285916000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,senior
194,1707629497000,Hồ Chí Minh,Backend Developer,3,Công nghệ thông tin,middle
195,1677080534000,Đà Nẵng,ReactJs,1,Công nghệ thông tin,fresher
196,1708875454000,Đà Nẵng,DevOps Engineer,1,Công nghệ thông tin,intern
197,1675150554000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,intern
198,1714983240000,Đà Nẵng,NodeJs,1,Công nghệ thông tin,junior
199,1674686722000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,junior
200,1714617569000,Hà Nội,ReactJs,3,Công nghệ thông tin,intern
201,1701019551000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,senior
202,1713114886000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,junior
203,1713408769000,Hồ Chí Minh,ReactJs,2,Công nghệ thông tin,junior
204,1691617451000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,intern
205,1712602705000,Hà Nội,Frontend Developer,1,Công nghệ thông tin,intern
206,1677042447000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,junior
207,1702662441000,Hà Nội,NodeJs,2,Công nghệ thông tin,fresher
208,1712909851000,Hà Nội,NodeJs,3,Công nghệ thông tin,fresher
209,1715861476000,Đà Nẵng,ReactJs,2,Công nghệ thông tin,intern
210,1689957641000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,middle
211,1690229550000,Hà Nội,Frontend Developer,3,Công nghệ thông tin,fresher
212,1697900788000,Hà Nội,ReactJs,2,Công nghệ thông tin,junior
213,1672845421000,Hồ Chí Minh,Python Developer,1,Công nghệ thông tin,junior
214,1684403491000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,senior
215,1687153222000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,junior
216,1710757042000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,fresher
217,1700244234000,Hồ Chí Minh,Backend Developer,3,Công nghệ thông tin,junior
218,1673717519000,Hà Nội,NodeJs,1,Công nghệ thông tin,intern
219,1710456467000,Hồ Chí Minh,Python Developer,1,Công nghệ thông tin,intern
220,1698670151000,Hà Nội,Backend Developer,3,Công nghệ thông tin,middle
221,1685130552000,Hà Nội,Data Scientist,3,Công nghệ thông tin,junior
222,1703193306000,Đà Nẵng,Backend Developer,3,Công nghệ thông tin,intern
223,1714303332000,Hồ Chí Minh,Python Developer,2,Công nghệ thông tin,middle
224,1684750817000,Hà Nội,DevOps Engineer,2,Công nghệ thông tin,intern
225,1677239902000,Hà Nội,Java Developer,2,Công nghệ thông tin,senior
226,1704732353000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,middle
227,1690074735000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,intern
228,1702665674000,Đà Nẵng,Data Scientist,3,Công nghệ thông tin,junior
229,1680332214000,Đà Nẵng,NodeJs,1,Công nghệ thông tin,junior
230,1709009108000,Hà Nội,Data Scientist,3,Công nghệ thông tin,middle
231,1681889512000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,intern
232,1672752384000,Đà Nẵng,DevOps Engineer,2,Công nghệ thông tin,middle
233,1693982547000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,intern
234,1705835768000,Đà Nẵng,Data Scientist,2,Công nghệ thông tin,intern
235,1712556532000,Hồ Chí Minh,Python Developer,2,Công nghệ thông tin,fresher
236,1691495168000,Đà Nẵng,Data Scientist,2,Công nghệ thông tin,fresher
237,1700568428000,Hà Nội,ReactJs,2,Công nghệ thông tin,senior
238,1681210033000,Hà Nội,ReactJs,2,Công nghệ thông tin,intern
239,1680388859000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,fresher
240,1692630649000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,intern
241,1680774957000,Hà Nội,Python Developer,3,Công nghệ thông tin,fresher
242,1685512900000,Hà Nội,NodeJs,3,Công nghệ thông tin,intern
243,1681994318000,Hà Nội,Frontend Developer,3,Công nghệ thông tin,fresher
244,1694415177000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,fresher
245,1711559998000,Hà Nội,Python Developer,1,Công nghệ thông tin,senior
246,1707288122000,Hà Nội,Java Developer,2,Công nghệ thông tin,middle
247,1688925450000,Đà Nẵng,Backend Developer,1,Công nghệ thông tin,intern
248,1677604687000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,middle
249,1680538061000,Đà Nẵng,Backend Developer,3,Công nghệ thông tin,junior
250,1689489403000,Hồ Chí Minh,Frontend Developer,3,Công nghệ thông tin,junior
251,1681128161000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,middle
252,1687910440000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,middle
253,1697073362000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,intern
254,1683394270000,Hà Nội,Backend Developer,1,Công nghệ thông tin,fresher
255,1705519375000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,fresher
256,1694101847000,Hồ Chí Minh,ReactJs,3,Công nghệ thông tin,fresher
257,1688705451000,Hà Nội,DevOps Engineer,3,Công nghệ thông tin,junior
258,1690714079000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,senior
259,1707103199000,Hồ Chí Minh,Java Developer,1,Công nghệ thông tin,junior
260,1678727676000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,fresher
261,1690735471000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,intern
262,1707536179000,Hà Nội,NodeJs,3,Công nghệ thông tin,junior
263,1684236921000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,fresher
264,1717186320000,Đà Nẵng,Java Developer,1,Công nghệ thông tin,fresher
265,1690506219000,Hà Nội,Python Developer,3,Công nghệ thông tin,fresher
266,1713885329000,Hồ Chí Minh,Backend Developer,3,Công nghệ thông tin,middle
267,1680413805000,Hồ Chí Minh,Java Developer,1,Công nghệ thông tin,middle
268,1688925915000,Hà Nội,Data Scientist,3,Công nghệ thông tin,junior
269,1699373101000,Hồ Chí Minh,Data Scientist,2,Công nghệ thông tin,senior
270,1689968351000,Đà Nẵng,Backend Developer,1,Công nghệ thông tin,junior
271,1711648612000,Hồ Chí Minh,Frontend Developer,1,Công nghệ thông tin,senior
272,1701216283000,Hà Nội,NodeJs,3,Công nghệ thông tin,junior
273,1711281841000,Hà Nội,Data Scientist,2,Công nghệ thông tin,intern
274,1672864697000,Hà Nội,Java Developer,2,Công nghệ thông tin,middle
275,1704209722000,Hà Nội,Java Developer,1,Công nghệ thông tin,intern
276,1710959347000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,senior
277,1690900886000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,fresher
278,1698937668000,Hồ Chí Minh,Backend Developer,3,Công nghệ thông tin,senior
279,1708707797000,Hồ Chí Minh,DevOps Engineer,2,Công nghệ thông tin,intern
280,1694491177000,Đà Nẵng,Python Developer,2,Công nghệ thông tin,senior
281,1682988302000,Hà Nội,DevOps Engineer,3,Công nghệ thông tin,middle
282,1715284544000,Hà Nội,Data Scientist,3,Công nghệ thông tin,fresher
283,1675689250000,Hà Nội,Frontend Developer,1,Công nghệ thông tin,senior
284,1706530081000,Hà Nội,DevOps Engineer,3,Công nghệ thông tin,senior
285,1674769642000,Hà Nội,Data Scientist,2,Công nghệ thông tin,middle
286,1703090306000,Hà Nội,Backend Developer,3,Công nghệ thông tin,middle
287,1709491351000,Hồ Chí Minh,Java Developer,2,Công nghệ thông tin,senior
288,1693034154000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,fresher
289,1681860279000,Hà Nội,Python Developer,2,Công nghệ thông tin,senior
290,1701767482000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,junior
291,1681542534000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,middle
292,1702326548000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,junior
293,1699409651000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,middle
294,1700070044000,Hồ Chí Minh,Java Developer,2,Công nghệ thông tin,junior
295,1688400443000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,senior
296,1679153036000,Hà Nội,Backend Developer,1,Công nghệ thông tin,fresher
297,1710485597000,Hà Nội,Data Scientist,3,Công nghệ thông tin,intern
298,1709174288000,Đà Nẵng,Backend Developer,3,Công nghệ thông tin,senior
299,1691312592000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,fresher
300,1673703964000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,intern
301,1700842183000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,senior
302,1676069785000,Hà Nội,Frontend Developer,3,Công nghệ thông tin,intern
303,1683395071000,Hồ Chí Minh,DevOps Engineer,2,Công nghệ thông tin,junior
304,1675837263000,Hà Nội,Frontend Developer,3,Công nghệ thông tin,intern
305,1700025738000,Đà Nẵng,ReactJs,1,Công nghệ thông tin,fresher
306,1677605127000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,intern
307,1700895816000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,fresher
308,1693810040000,Đà Nẵng,Frontend Developer,3,Công nghệ thông tin,fresher
309,1712277174000,Hồ Chí Minh,Python Developer,1,Công nghệ thông tin,fresher
310,1700754402000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,fresher
311,1715468750000,Hồ Chí Minh,ReactJs,1,Công nghệ thông tin,fresher
312,1706195806000,Hà Nội,Data Scientist,2,Công nghệ thông tin,middle
313,1678357638000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,fresher
314,1693349350000,Hồ Chí Minh,NodeJs,3,Công nghệ thông tin,intern
315,1711600260000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,senior
316,1692492408000,Hồ Chí Minh,Frontend Developer,2,Công nghệ thông tin,senior
317,1714138082000,Hồ Chí Minh,Frontend Developer,1,Công nghệ thông tin,senior
318,1697690824000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,intern
319,1715574841000,Hà Nội,NodeJs,1,Công nghệ thông tin,middle
320,1674990038000,Hà Nội,Backend Developer,2,Công nghệ thông tin,intern
321,1713756508000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,junior
322,1693621117000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,middle
323,1695062213000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,intern
324,1692389766000,Hồ Chí Minh,Backend Developer,3,Công nghệ thông tin,middle
325,1687803041000,Hà Nội,DevOps Engineer,2,Công nghệ thông tin,junior
326,1680791256000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,fresher
327,1705642989000,Hà Nội,Data Scientist,2,Công nghệ thông tin,middle
328,1711904957000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,fresher
329,1698602251000,Hồ Chí Minh,Backend Developer,3,Công nghệ thông tin,middle
330,1681153304000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,middle
331,1699579910000,Hà Nội,DevOps Engineer,3,Công nghệ thông tin,middle
332,1676694780000,Hồ Chí Minh,ReactJs,2,Công nghệ thông tin,intern
333,1695523551000,Hồ Chí Minh,Python Developer,2,Công nghệ thông tin,fresher
334,1694244559000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,junior
335,1692369099000,Hà Nội,ReactJs,1,Công nghệ thông tin,junior
336,1703105729000,Hồ Chí Minh,DevOps Engineer,2,Công nghệ thông tin,senior
337,1706532997000,Hà Nội,Python Developer,3,Công nghệ thông tin,fresher
338,1713681999000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,intern
339,1700595709000,Đà Nẵng,Python Developer,2,Công nghệ thông tin,fresher
340,1689397052000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,junior
341,1696030499000,Hà Nội,DevOps Engineer,2,Công nghệ thông tin,intern
342,1676157251000,Hà Nội,Data Scientist,1,Công nghệ thông tin,senior
343,1694453086000,Hồ Chí Minh,ReactJs,1,Công nghệ thông tin,junior
344,1716428561000,Hồ Chí Minh,ReactJs,3,Công nghệ thông tin,senior
345,1713736556000,Hồ Chí Minh,Java Developer,2,Công nghệ thông tin,middle
346,1682820316000,Đà Nẵng,NodeJs,2,Công nghệ thông tin,intern
347,1680621211000,Hồ Chí Minh,Java Developer,3,Công nghệ thông tin,senior
