ID;Công ty/Cơ quan/Đơn vị tuyển dụng;Tỉnh/Thành phố;Phạm vi (Nhà nước/DN trong nước/DN nước ngoài);Ngày đăng;Tháng đăng;Năm đăng;Số lượng tuyển dụng;Số lượng nữ (nếu có);Lĩnh vực tuyển dụng cấp 1 (CNTT/Du lịch/Điện, …);Tên công việc;Vị trí công việc (nếu có);Mức lương (nếu có);Trình độ;Yêu cầu kinh nghiệm/trình độ (năm);Link bài đăng để minh chứng
11;Honda Ô Tô Giải Phóng - Công Ty Cổ Phần Đầu Tư Thương Mại Nam Thái Bình;Hà Nội;DN trong nước;4;12;2024;10;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Bán Hàng;Chuyên viên- nhân viên;10000000 - 13000000;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-ban-hang.html
12;Siêu Việt Group;TP.HCM;DN trong nước;17;12;2024;2;0;Hành chính - Thư ký;Nhân Viên Chăm Sóc Khách Hàng - Customer Service;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-customer-service.html
13;Công Ty TNHH Việt Mỹ  -SSU;TP.HCM;DN trong nước;13;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Chăm Sóc Khách Hàng Ví Điện Tử Momo;Chuyên viên- nhân viên;N/A;Chứng chỉ;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-vi-dien-tu-momo.html
14;Công Ty TNHH Bảo Hiểm Nhân Thọ Sun Life Việt Nam;TP.HCM;DN trong nước;11;12;2024;5;0;Bán hàng - Kinh doanh;Chuyên Viên Quản Lý Khách Hàng Cao Cấp - Thu Nhập Từ 16 Triệu;Chuyên viên- nhân viên;6500000 - 8500000;Chứng chỉ;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-quan-ly-khach-hang-cao-cap-thu-nhap-tu-16-trieu.html
15;Khách Hàng Của Việc Làm 24H;TP.HCM;DN trong nước;17;12;2024;20;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn - Tân Bình - Đi Làm Ngay;Chuyên viên- nhân viên;16000000 - 35000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-tan-binh-di-lam-ngay.html
16;Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd);TP.HCM;DN trong nước;19;12;2024;2;0;Dệt may - Da giày - Thời trang;Nhân Viên Xuất Nhập Khẩu (Exim Staff For Processing Garment Company);Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-xuat-nhap-khau-exim-staff-for-processing-garment-company.html
17;Công Ty TNHH Vietnam Concentrix Services;TP.HCM;DN trong nước;10;12;2024;2;0;Chăm sóc khách hàng;Nhân Viên Bán Hàng - Data Nóng - Nhận Việc Ngay;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-data-nong-nhan-viec-ngay.html
18;Công Ty Cổ Phần Dịch Vụ Thương Mại Tổng Hợp Wincommerce;Hà Nội;DN trong nước;16;12;2024;2;0;Bán sỉ - Bán lẻ - Quản lý cửa hàng;Nhân Viên Bán Hàng Winmart Khu Vực Hà Nội - Không Yêu Cầu Kinh Nghiệm;Chuyên viên- nhân viên;N/A;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ban-hang-winmart-khu-vuc-ha-noi-khong-yeu-cau-kinh-nghiem.html
19;Công Ty TNHH Dịch Vụ Vận Tải Sinh Thái Vinbus;Hà Nội;DN trong nước;22;11;2024;2;0;Khoa học - Kỹ thuật;Kỹ Thuật Viên Dịch Vụ Bảo Dưỡng Sửa Chữa Xe Ô Tô;Chuyên viên- nhân viên;6000000 - 9000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-thuat-vien-dich-vu-bao-duong-sua-chua-xe-o-to.html
20;Trung Tâm Hạ Tầng Idc - Chi Nhánh Công Ty Công Nghệ Thông Tin Vnpt;Hà Nội;DN trong nước;29;11;2024;4;0;IT Phần cứng - Mạng;Kỹ Sư Quản Trị Dịch Vụ Làm Việc Tại Vnpt Idc Hà Nội;Chuyên viên- nhân viên;13000000 - 18000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-quan-tri-dich-vu-lam-viec-tai-vnpt-idc-ha-noi.html
21;Công Ty TNHH Dược Phẩm Nhất Nhất;Long An;DN trong nước;27;11;2024;3;0;Y tế - Chăm sóc sức khỏe;Nhân Viên Nghiên Cứu Mỹ Phẩm Và Thiết Bị Y Tế, Kinh Nghiệm 1 Năm (Phỏng Vấn Trước Tết - Đi Làm Sau Tết​);Chuyên viên- nhân viên;15000000 - 35000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-nghien-cuu-my-pham-va-thiet-bi-y-te-kinh-nghiem-1-nam-phong-van-truoc-tet-di-lam-sau-tet.html
22;Công Ty TNHH Tri Thức Việt;Bình Dương;DN trong nước;29;11;2024;5;0;Kiểm toán;Trợ Lý Kiểm Toán Viên;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/tro-ly-kiem-toan-vien.html
23;Công Ty Tài Chính TNHH Ngân Hàng Việt Nam Thịnh Vượng SMBC;N/A;DN trong nước;13;12;2024;100;0;Bán hàng - Kinh doanh;Nhân Viên Thu Phí Tín Dụng Thị Trường;Chuyên viên- nhân viên;10000000 - 15000000;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-thu-phi-tin-dung-thi-truong.html
24;Arena Multimedia;Hà Nội;DN trong nước;11;12;2024;2;0;Chăm sóc khách hàng;[Hn] Nhân Viên Tư Vấn Tuyển Sinh - Lương Cứng Upto 10 Triệu;Chuyên viên- nhân viên;12000000 - 20000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/hn-nhan-vien-tu-van-tuyen-sinh-luong-cung-upto-10-trieu.html
25;Chi Nhánh Công Ty TNHH Thiết Bị Điện Và Chiếu Sáng Châu Á;N/A;DN trong nước;5;12;2024;5;5;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Phát Triển Thị Trường (Thời Gian Làm Việc Tự Do);Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-phat-trien-thi-truong-thoi-gian-lam-viec-tu-do.html
26;Công Ty TNHH Kỹ Thuật Thương Mại Thang Máy Cps;TP.HCM;DN trong nước;11;12;2024;2;2;Cơ khí - Ô tô - Tự động hóa;Kỹ Sư Cơ Khí - Thiết Kế Thang Máy;Chuyên viên- nhân viên;12000000 - 15000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-co-khi-thiet-ke-thang-may.html
27;Công Ty Cổ Phần Vật Liệu Cmech Việt Nam;TP.HCM;DN trong nước;12;12;2024;1;0;Bán hàng - Kinh doanh;Quản Lý Kinh Doanh Dự Án;Quản lý nhóm- giám sát;8000000 - 15000000;Chứng chỉ;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/quan-ly-kinh-doanh-du-an.html
28;Công Ty Tài Chính TNHH Ngân Hàng Việt Nam Thịnh Vượng SMBC;TP.HCM;DN trong nước;11;12;2024;20;0;Tài chính - Đầu tư - Chứng Khoán;Nhân Viên Thẩm Định Qua Điện Thoại (Ưu Tiên Giọng Bắc) Thu Nhập 10-15Tr;Chuyên viên- nhân viên;10000000 - 20000000;Lao động phổ thông;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tham-dinh-qua-dien-thoai-uu-tien-giong-bac-thu-nhap-10-15tr.html
29;Chi Nhánh Công Ty Cổ Phần Phúc Thành An Tại Thành Phố Hồ Chí Minh;TP.HCM;DN trong nước;27;11;2024;5;0;Xây dựng;Kỹ Sư QA- QC Công Trình Giao Thông;Chuyên viên- nhân viên;10000000 - 15000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-qa-qc-cong-trinh-giao-thong.html
30;Siêu Việt Group;Hà Nội;DN trong nước;27;11;2024;1;0;Bán hàng - Kinh doanh;Hà Nội - Sales Team Leader - Đi Làm Ngay;Quản lý nhóm- giám sát;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ha-noi-sales-team-leader-di-lam-ngay.html
31;Arena Multimedia;Hà Nội;DN trong nước;23;12;2024;2;2;Marketing;[Hn] Nhân Viên Marketing Direct - Lương Cứng 7-10 Triệu + Thưởng;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/hn-nhan-vien-marketing-direct-luong-cung-7-10-trieu-thuong.html
32;Công Ty TNHH Sản Xuất Hải Đăng Long An;Long An;DN trong nước;18;12;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Tại Văn Phòng  - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;Trung học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-tai-van-phong-di-lam-ngay.html
33;Công Ty TNHH Điện Trở Đốt Nóng Việt Hùng;TP.HCM;DN trong nước;11;12;2024;3;3;Cơ khí - Ô tô - Tự động hóa;Nhân Viên Cơ Khí (Tiện / Phay / Bào) - Lương Từ 10-15 Triệu Đi Làm Ngay;Chuyên viên- nhân viên;N/A;Đại học;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-co-khi-tien-phay-bao-luong-tu-10-15-trieu-di-lam-ngay.html
34;Công Ty Cổ Phần Vacom;Hà Nội;DN trong nước;24;12;2024;2;0;IT Phần mềm;Nhân Viên Triển Khai Phần Mềm Kế Toán;Chuyên viên- nhân viên;N/A;Chứng chỉ;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-trien-khai-phan-mem-ke-toan.html
35;Công Ty TNHH Hỗ Trợ Cộng Đồng Và Dịch Vụ Giáo Dục An Bình;Hải Phòng;DN trong nước;18;12;2024;5;0;Giáo dục - Đào tạo;Học Việc Giáo Viên Can Thiệp Trẻ Tự Kỉ, Chậm Nói;Chuyên viên- nhân viên;8000000 - 15000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/hoc-viec-giao-vien-can-thiep-tre-tu-ki-cham-noi.html
36;Công Ty TNHH Leetray;TP.HCM;DN trong nước;12;12;2024;2;0;Khoa học - Kỹ thuật;Kỹ Sư Dữ Liệu, Kinh Nghiệm 2 Năm (Quận 10);Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-du-lieu-kinh-nghiem-2-nam-quan-10.html
37;Công Ty Cổ Phần Công Nghệ Và Tư Vấn Á Châu;Hà Nội;DN trong nước;13;12;2024;1;1;Môi trường - Xử lý chất thải;Kỹ Sư Môi Trường (Xử Lý Cấp Thoát Nước);Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-moi-truong-xu-ly-cap-thoat-nuoc.html
38;Công Ty TNHH Đầu Tư Xây Dựng An Phong Group;Hà Nội;DN trong nước;17;12;2024;5;0;Kế toán;Nhân Viên Kế Toán - Làm Việc Tại Thường Tín, Hà Nội;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-lam-viec-tai-thuong-tin-ha-noi.html
39;Công Ty TNHH Công Nghệ Starvision (Việt Nam);Hải Phòng;DN trong nước;5;12;2024;1;0;Hành chính - Thư ký;Kế Toán Trưởng (Lương Từ 25 - 35 Triệu);Quản lý cấp trung;N/A;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-truong-luong-tu-25-35-trieu.html
40;Công Ty TNHH Tập Đoàn Rita Võ;Phú Thọ;DN trong nước;12;12;2024;2;0;Bán hàng - Kinh doanh;[Việt Trì - Phú Thọ] Nhân Viên Kinh Doanh Nội Thất, Thiết Bị Vệ Sinh;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/viet-tri-phu-tho-nhan-vien-kinh-doanh-noi-that-thiet-bi-ve-sinh.html
41;Công ty TNHH Toyota Thanh Xuân;Hà Nội;DN trong nước;9;12;2024;2;0;Cơ khí - Ô tô - Tự động hóa;Nhân Viên Kỹ Thuật Viên Sửa Chữa Chung;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ky-thuat-vien-sua-chua-chung.html
42;Công Ty TNHH Nationwide Consulting;N/A;DN trong nước;24;12;2024;5;0;Chăm sóc khách hàng;Nhân Viên Chăm Sóc Khách Hàng Ca Đêm – Tại Thủ Đức, Quận 2;Chuyên viên- nhân viên;N/A;Trung học;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-ca-dem-tai-thu-duc-quan-2.html
43;Công Ty Cổ Phần Thiết Kế Và Xây Dựng Giza Việt Nam;N/A;DN trong nước;16;12;2024;10;0;Xây dựng;Kỹ Sư Xây Dựng / QS / QC _ Dự Án Tại Kcn Thuận Thành (Bắc Ninh) Và Các Tỉnh Miền Bắc - Đi Làm Ngay;Chuyên viên- nhân viên;10000000 - 20000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-xay-dung-qs-qc-du-an-tai-kcn-thuan-thanh-bac-ninh-va-cac-tinh-mien-bac-di-lam-ngay.html
44;Công Ty TNHH Hỗ Trợ Cộng Đồng Và Dịch Vụ Giáo Dục An Bình;Hải Phòng;DN trong nước;18;12;2024;5;0;Giáo dục - Đào tạo;Giáo Viên Can Thiệp Trẻ Tự Kỉ, Chậm Nói - Có Đào Tạo Chấp Nhận Ứng Viên Trái Ngành;Chuyên viên- nhân viên;N/A;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giao-vien-can-thiep-tre-tu-ki-cham-noi-co-dao-tao-chap-nhan-ung-vien-trai-nganh.html
45;Công Ty TNHH Truyền Thông Tương Lai Ft Việt Nam;TP.HCM;DN trong nước;24;12;2024;3;0;Marketing;Chuyên Viên Quảng Bá Thương Hiệu (Quận 12);Chuyên viên- nhân viên;N/A;Chứng chỉ;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-quang-ba-thuong-hieu-quan-12.html
46;Công ty TNHH Đại Phát Tín;TP.HCM;DN trong nước;24;12;2024;5;0;Bán hàng - Kinh doanh;Chuyên Viên Kinh Doanh Ô Tô;Chuyên viên- nhân viên;30000000 - 50000000;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kinh-doanh-o-to.html
47;Công Ty Cổ Phần Vinhomes;TP.HCM;DN trong nước;24;12;2024;3;0;Luật - Pháp Lý - Tuân thủ;Chuyên Viên Thủ Tục Sổ Đỏ;Chuyên viên- nhân viên;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-thu-tuc-so-do.html
48;Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Nhựa Kim Nguyên;TP.HCM;DN trong nước;15;12;2024;15;0;Lao động phổ thông;Nhân Viên Đứng Máy Ép (Lao Động Phổ Thông);Chuyên viên- nhân viên;14000000 - 17000000;Đại học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-dung-may-ep-lao-dong-pho-thong.html
49;Công Ty Cổ Phần Công Nghệ Hdp Việt Nam;N/A;DN trong nước;21;12;2024;5;0;Bán hàng - Kinh doanh;Sales Engineer - Giải Pháp Chiếu Sáng Thông Minh Helvar Cho Villa, Trung Tâm Thương Mại;Chuyên viên- nhân viên;7000000 - 15000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/sales-engineer-giai-phap-chieu-sang-thong-minh-helvar-cho-villa-trung-tam-thuong-mai.html
50;Công Ty TNHH Vietnam Concentrix Services;TP.HCM;DN trong nước;23;12;2024;50;0;Chăm sóc khách hàng;Nhân Viên Chăm Sóc Khách Hàng;Chuyên viên- nhân viên;N/A;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang.html
51;CÔNG TY CỔ PHẦN HỢP TRÍ SUMMIT;N/A;DN trong nước;11;11;2024;20;20;Nông - Lâm - Ngư nghiệp;Kỹ Sư Nông Nghiệp - Nhân Viên Hợp Trí 247;Chuyên viên- nhân viên;10000000 - 13000000;Lao động phổ thông;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-nong-nghiep-nhan-vien-hop-tri-247.html
52;Công Ty Cổ Phần Eurowindow;Bình Dương;DN trong nước;23;12;2024;1;0;Quản lý tiêu chuẩn và chất lượng;Trưởng Phòng Quản Lý Chất Lượng;Quản lý cấp trung;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/truong-phong-quan-ly-chat-luong.html
53;Công ty TNHH Chế biến thực phẩm Đông Đô;N/A;DN trong nước;16;12;2024;1;0;Bán hàng - Kinh doanh;PG Parttime Bán Hàng Kênh Siêu Thị;Cộng tác viên;20000000 - 25000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/pg-parttime-ban-hang-kenh-sieu-thi.html
54;Công Ty Cổ Phần Dược Phẩm Cửu Long;Vĩnh Long;DN trong nước;19;10;2024;6;0;Cơ khí - Ô tô - Tự động hóa;Đi Làm Ngay - Nhân Viên Cơ Khí Ca;Chuyên viên- nhân viên;4000000 - 5000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/di-lam-ngay-nhan-vien-co-khi-ca.html
55;Công Ty TNHH Jp Tech Việt Nam;Hà Nội;DN trong nước;23;12;2024;2;0;Xây dựng;Nhân Viên Quản Lý Dự Án Và Giám Sát Công Trình;Quản lý nhóm- giám sát;5000000 - 8000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-quan-ly-du-an-va-giam-sat-cong-trinh.html
56;Công Ty TNHH TM Xnk Phú Lộc Trường;Hà Nội;DN trong nước;9;12;2024;3;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Nguyên Vật Liệu Ngành Bao Bì Hà Nội (Đi Làm Ngay);Chuyên viên- nhân viên;12000000 - 20000000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-nguyen-vat-lieu-nganh-bao-bi-ha-noi-di-lam-ngay.html
57;Công Ty TNHH Việt Nam Center Power Tech;Đồng Nai;DN trong nước;18;12;2024;3;0;Sản xuất - Lắp ráp - Chế biến;Nhân Viên Kế Hoạch Sản Xuất - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-hoach-san-xuat-di-lam-ngay.html
58;Công Ty Cổ Phần Xây Dựng Trường Cát;Hà Nội;DN trong nước;23;12;2024;3;3;Xây dựng;Giám Sát Xây Dựng;Quản lý cấp trung;N/A;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-xay-dung.html
59;Công ty CP đá Granite \u0026 Marble Tự Nhiên Thiên Sơn;Hà Nội;DN trong nước;19;11;2024;3;3;Xây dựng;Cán Bộ Kỹ Thuật - Giám Sát Hiện Trường Dự Án Thu Nhập Đến 22 Triệu;Chuyên viên- nhân viên;15000000 - 25000000;Lao động phổ thông;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/can-bo-ky-thuat-giam-sat-hien-truong-du-an-thu-nhap-den-22-trieu.html
60;Công Ty Cổ Phần Truyền Thông Và Giải Trí Lkh Media;Hà Nội;DN trong nước;21;12;2024;2;0;Giáo dục - Đào tạo;Chuyên Viên Video Jockey (Vj) - Chương Trình Văn Hoá;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-video-jockey-vj-chuong-trinh-van-hoa.html
61;Công Ty Cổ Phần Truyền Thông Và Giải Trí Lkh Media;Hà Nội;DN trong nước;21;12;2024;2;0;Truyền hình - Báo chí - Biên tập;Biên Tập Viên - Chương Trình Văn Hoá;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/bien-tap-vien-chuong-trinh-van-hoa.html
62;Công Ty TNHH Pronics Precision;Long An;DN trong nước;23;12;2024;4;0;Điện - Điện tử - Điện lạnh;Kỹ Sư Kinh Doanh Linh Kiện Điện Tử - Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-kinh-doanh-linh-kien-dien-tu-di-lam-ngay.html
63;Công Ty Cổ Phần Warning Zone;TP.HCM;DN trong nước;23;12;2024;20;0;Khách sạn - Nhà hàng - Du lịch;Nhân Viên Phục Vụ Không Cần Kinh Nghiệm (Nhận Việc Ngay);Chuyên viên- nhân viên;12000000 - 20000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-phuc-vu-khong-can-kinh-nghiem-nhan-viec-ngay.html
64;Công Ty Cổ Phần Thương Mại Và Sản Xuất Vật Liệu Tái Sinh Số 1 Việt Nam;Ninh Bình;DN trong nước;20;12;2024;2;0;Kế toán;Nhân Viên Kế Toán Tổng Hợp;Chuyên viên- nhân viên;5000000 - 6500000;N/A;5;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-ke-toan-tong-hop.html
65;Công Ty TNHH Xây Lắp Thương Mại Khởi Đạt;N/A;DN trong nước;20;12;2024;10;10;Xây dựng;Kỹ Sư Hiện Trường Lương 15 - 20Tr - Chế Độ Tốt - Có Thể Nhận Việc Sau Tết Nguyên Đán;Chuyên viên- nhân viên;8000000 - 10000000;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ky-su-hien-truong-luong-15-20tr-che-do-tot-co-the-nhan-viec-sau-tet-nguyen-dan.html
66;Công Ty TNHH Một Thành Viên Hoàng Phúc;Bình Dương;DN trong nước;20;12;2024;2;0;Kiến trúc - Thiết kế nội ngoại thất;Kiến Trúc Sư Thành Thạo Phần Mềm Revit;Chuyên viên- nhân viên;15000000 - 20000000;N/A;4;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/kien-truc-su-thanh-thao-phan-mem-revit.html
67;Công Ty TNHH Dòng Di Sản;TP.HCM;DN trong nước;20;12;2024;2;2;Hành chính - Thư ký;Assistance Service Executive (Nam);Chuyên viên- nhân viên;15000000 - 20000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/assistance-service-executive-nam.html
